restaurant_id,name,price,city,region,timing,rating_type,rating,votes,url
571,New Shanghai,700.0,Mumbai,Santacruz West,11am to 12midnight(Mon-Sun),Very Good,4.0,412.0,https://www.zomato.com/mumbai/new-shanghai-santacruz-west/info
572,Mahlzeit - Berlin Street Food,750.0,Mumbai,Pali Hill-- Bandra West,12noon to 1145pm(Mon-Sun),Very Good,4.1,583.0,https://www.zomato.com/mumbai/mahlzeit-berlin-street-food-pali-hill-bandra-west/info
573,The Joker Bistro,1200.0,Mumbai,CBD-Belapur,12noon to 12midnight(Mon-Sun),Excellent,4.5,490.0,https://www.zomato.com/mumbai/the-joker-bistro-cbd-belapur-navi-mumbai/info
574,Delicacy Of China,650.0,Mumbai,Oshiwara-- Andheri West,12noon to 12midnight(Mon-Sun),Good,3.8,549.0,https://www.zomato.com/mumbai/delicacy-of-china-oshiwara/info
575,Farmhouse Garden Family Restaurant & Bar,1200.0,Mumbai,Vasai,11am to 12midnight(Mon-Sun),Very Good,4.1,1282.0,https://www.zomato.com/mumbai/farmhouse-garden-family-restaurant-bar-vasai/info
576,NAME,,CITY,REGION,TIMING,RATING_TYPE,,,URL
577,Shree Sunders,700.0,Mumbai,Lower Parel,7am to 12midnight(Mon-Sun),Very Good,4.0,372.0,https://www.zomato.com/mumbai/shree-sunders-lower-parel/info
578,Yum In Tum,250.0,Mumbai,Borivali West,12noon to 12midnight(Mon-Sun),Very Good,4.1,56.0,https://www.zomato.com/mumbai/yum-in-tum-1-borivali-west/info
579,Lakeside Chinese Corner,400.0,Mumbai,Vashi,10am to 11pm(Mon-Sun),Good,3.9,279.0,https://www.zomato.com/mumbai/lakeside-chinese-corner-vashi-navi-mumbai/info
580,Manisha Chinese Corner,500.0,Mumbai,Chembur,11am to 12midnight(Mon-Sun),Average,2.9,167.0,https://www.zomato.com/mumbai/manisha-chinese-corner-chembur/info
581,Shashikant Lunch Home,350.0,Mumbai,Lower Parel,"11am to 4pm,7pm to 11pm(Mon-Sun)",Good,3.8,131.0,https://www.zomato.com/mumbai/shashikant-lunch-home-lower-parel/info
582,Baochee,700.0,Mumbai,Mira Road,"1130am to 330pm,630pm to 12midnight(Mon,Tue...",Very Good,4.3,153.0,https://www.zomato.com/mumbai/baochee-4-mira-road/info
583,Al Baik,400.0,Mumbai,Kurla,5pm to 1130pm(Mon-Sun),Very Good,4.1,119.0,https://www.zomato.com/mumbai/al-baik-kurla/info
584,Foodiator,300.0,Mumbai,Kharghar,"11am to 11pm(Mon-Sat),Closed(Sun)",Very Good,4.2,48.0,https://www.zomato.com/mumbai/foodiator-1-kharghar-navi-mumbai/info
585,China Xpress,450.0,Mumbai,Majiwada-- Thane West,"Closed(Mon),12noon to 3pm,7pm to 12midnight...",,,,https://www.zomato.com/mumbai/china-xpress-2-majiwada-thane-west-thane/info
586,Beer Bites,800.0,Mumbai,Worli,12noon to 12midnight(Mon-Sun),,,,https://www.zomato.com/mumbai/beer-bites-worli/info
587,Swadesh,550.0,Mumbai,7 Bungalows-- Andheri West,"8am to 1130pm(Mon),8am to 12midnight(Tue-Sun)",Good,3.9,460.0,https://www.zomato.com/mumbai/swadesh-7-bungalows/info
588,Kaffeine,950.0,Mumbai,Borivali West,11am to 12midnight(Mon-Sun),Very Good,4.0,701.0,https://www.zomato.com/mumbai/kaffeine-borivali-west/info
589,Pepper Fry,800.0,Mumbai,Panch Pakhadi-- Thane West,11am to 11pm(Mon-Sun),Excellent,4.6,102.0,https://www.zomato.com/mumbai/pepper-fry-1-panch-pakhadi-thane-west-thane/info
590,Coffee Sutra,500.0,Mumbai,Sanpada,11am to 11pm(Mon-Sun),Good,3.7,57.0,https://www.zomato.com/mumbai/coffee-sutra-sanpada-navi-mumbai/info
591,Trap Lounge,1800.0,Mumbai,Powai,1130am to 12midnight(Mon-Sun),Very Good,4.1,745.0,https://www.zomato.com/mumbai/trap-lounge-powai/info
592,NAME,,CITY,REGION,TIMING,RATING_TYPE,,,URL
593,Feast O Fill,800.0,Mumbai,Mira Road,1pm to 12midnight(Mon-Sun),Very Good,4.1,489.0,https://www.zomato.com/mumbai/feast-o-fill-mira-road/info
594,Mumbai Canteen,1100.0,Mumbai,Goregaon East,12noon to 12midnight(Mon-Sun),Very Good,4.3,373.0,https://www.zomato.com/mumbai/mumbai-canteen-goregaon-east/info
595,Ahmed Bhai's Bry & Dry,850.0,Mumbai,Nerul,"1230pm to 5pm,7pm to 1130pm(Mon-Sun)",Good,3.9,1829.0,https://www.zomato.com/mumbai/ahmed-bhais-bry-dry-nerul-navi-mumbai/info
596,Tandoor Tawa Aur Karahi,600.0,Mumbai,Kasarvadavli-- Thane West,"1230pm to 325pm,720pm to 1130pm(Mon,Tue...",Very Good,4.0,1004.0,https://www.zomato.com/mumbai/tandoor-tawa-aur-karahi-kasarvadavli-thane-west/info
597,Pegasus Brew House,1500.0,Mumbai,Vasai,12noon to 12midnight(Mon-Sun),,,,https://www.zomato.com/mumbai/pegasus-brew-house-vasai/info
598,Leo 89,1400.0,Mumbai,Chembur,12noon to 1230AM(Mon-Sun),Good,3.8,125.0,https://www.zomato.com/mumbai/leo-89-chembur/info
599,The BN Fries,150.0,Mumbai,Chandivali,"11am to 9pm(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",,,,https://www.zomato.com/mumbai/the-bn-fries-chandivali/info
600,Raju Sandwich Stall,250.0,Mumbai,Churchgate,8am to 830pm(Mon-Sun),Very Good,4.2,716.0,https://www.zomato.com/mumbai/raju-sandwich-stall-churchgate/info
601,PJ's,700.0,Mumbai,Pali Hill-- Bandra West,"630pm to 1130pm(Mon),12noon to 3pm,630pm to ...",Very Good,4.0,1063.0,https://www.zomato.com/mumbai/pjs-pali-hill-bandra-west/info
602,Mr. Foodiee,450.0,Mumbai,Chakala,11am to 1130pm(Mon-Sun),Good,3.9,445.0,https://www.zomato.com/mumbai/mr-foodiee-chakala/info
603,Samrat Restaurant,900.0,Mumbai,Churchgate,12noon to 11pm(Mon-Sun),Very Good,4.0,1533.0,https://www.zomato.com/mumbai/samrat-restaurant-churchgate/info
604,Shree Gangour Sweets,500.0,Mumbai,Juhu,830am to 10pm(Mon-Sun),Good,3.8,314.0,https://www.zomato.com/mumbai/shree-gangour-sweets-juhu/info
605,Maroosh,600.0,Mumbai,High Street Phoenix-- Lower Parel,11am to 1130pm(Mon-Sun),Good,3.6,771.0,https://www.zomato.com/mumbai/maroosh-lower-parel/info
